Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28123935,MALARIA_ITN_COVERAGE,COUNTRY,BDI,YEAR,2019,50.5,50.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123936,MALARIA_ITN_COVERAGE,COUNTRY,BEN,YEAR,2019,30.5,30.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123937,MALARIA_ITN_COVERAGE,COUNTRY,BFA,YEAR,2020,68.3,68.3,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123938,MALARIA_ITN_COVERAGE,COUNTRY,CIV,YEAR,2020,49,49,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123939,MALARIA_ITN_COVERAGE,COUNTRY,CMR,YEAR,2020,71.8,71.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123940,MALARIA_ITN_COVERAGE,COUNTRY,COD,YEAR,2018,59.2,59.2,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123941,MALARIA_ITN_COVERAGE,COUNTRY,COG,YEAR,2020,84,84,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123942,MALARIA_ITN_COVERAGE,COUNTRY,COM,YEAR,2018,67.4,67.4,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123943,MALARIA_ITN_COVERAGE,COUNTRY,ERI,YEAR,2019,54.6,54.6,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123944,MALARIA_ITN_COVERAGE,COUNTRY,ETH,YEAR,2019,25.5,25.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123945,MALARIA_ITN_COVERAGE,COUNTRY,GAB,YEAR,2020,11.8,11.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123946,MALARIA_ITN_COVERAGE,COUNTRY,GHA,YEAR,2018,84.9,84.9,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123947,MALARIA_ITN_COVERAGE,COUNTRY,GIN,YEAR,2018,30.6,30.6,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123948,MALARIA_ITN_COVERAGE,COUNTRY,GMB,YEAR,2019,64,64,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123949,MALARIA_ITN_COVERAGE,COUNTRY,GNB,YEAR,2020,18.8,18.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123950,MALARIA_ITN_COVERAGE,COUNTRY,GNQ,YEAR,2018,46.4,46.4,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123951,MALARIA_ITN_COVERAGE,COUNTRY,KEN,YEAR,2019,58.9,58.9,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19
28123952,MALARIA_ITN_COVERAGE,COUNTRY,LBR,YEAR,2020,23.8,23.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20
28123953,MALARIA_ITN_COVERAGE,COUNTRY,MDG,YEAR,2018,61.7,61.7,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123954,MALARIA_ITN_COVERAGE,COUNTRY,MLI,YEAR,2018,67.4,67.4,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18
28123955,MALARIA_ITN_COVERAGE,COUNTRY,MOZ,YEAR,2019,53.2,53.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123956,MALARIA_ITN_COVERAGE,COUNTRY,MRT,YEAR,2020,40,40,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123957,MALARIA_ITN_COVERAGE,COUNTRY,MWI,YEAR,2020,42.3,42.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123958,MALARIA_ITN_COVERAGE,COUNTRY,NGA,YEAR,2019,48.3,48.3,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123959,MALARIA_ITN_COVERAGE,COUNTRY,RWA,YEAR,2020,59.3,59.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123960,MALARIA_ITN_COVERAGE,COUNTRY,SEN,YEAR,2020,76.3,76.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123961,MALARIA_ITN_COVERAGE,COUNTRY,SLE,YEAR,2018,69,69,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123962,MALARIA_ITN_COVERAGE,COUNTRY,SSD,YEAR,2019,36,36,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123963,MALARIA_ITN_COVERAGE,COUNTRY,TCD,YEAR,2020,47.6,47.6,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123964,MALARIA_ITN_COVERAGE,COUNTRY,TGO,YEAR,2018,79.1,79.1,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123965,MALARIA_ITN_COVERAGE,COUNTRY,TZA,YEAR,2019,54.4,54.4,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123966,MALARIA_ITN_COVERAGE,COUNTRY,UGA,YEAR,2020,69,69,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
